Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L1      W       
5-4     43      1.7419  8.95    0       0       35.25   -18.42  77.35   3.2016  2.8307  
5-5     30      3.7303  8.96    0       0       22.125  -37.86  75.82   3.2791  2.2393  
5-6     29      3.1634  8.94    0       0       28.791  -40.99  76.78   3.2214  2.5652  
5-7     39      2.9513  9.03    0       0       22.65   26.704  75.87   3.3662  2.2431  
5-8     24      3.8833  8.93    0       0       28.111  -50.3   76.69   3.2136  2.5371  
5-9     21      4.3723  9.05    0       0       35.59   66.489  77.45   3.3233  2.8001  
5-10    12      6.4258  8.97    0       0       66.471  122.29  78.4    3.1749  3.7325  
5-11    36      2.6083  8.96    0       0       27.987  -30.05  76.7    3.2436  2.525   
5-12    16      4.6759  9.04    0       0       39.053  74.316  77.68   3.308   2.9267  
5-13    35      3.0315  9.04    0       0       24.091  31.121  76.13   3.3614  2.3142  
5-14    19      5.6771  8.93    0       0       22.223  -59.24  75.83   3.2482  2.2501  
5-15    10      46.788  8.67    0       0       9.2925  -138.4  70      3.2269  1.3936  
5-16    8       17.388  9.04    0       0       83.492  251.71  78.71   3.2662  4       
5-17    4       116.6   8.58    0       0       15.436  -295.4  73.56   3.2074  3.0525  
5-18    5       52.295  8.58    0       0       35.104  -296.8  76.44   3.2217  2.4912  
5-19    23      3.463   8.98    0       0       51.423  67.098  78.18   3.1143  3.1443  
5-20    15      3.9686  8.98    0       0       54.371  77.574  78.27   3.1211  3.063   
5-21    33      3.2972  8.96    0       0       23.489  -34.31  76.06   3.4143  3.0606  
5-22    26      3.7505  8.94    0       0       26.246  -45.64  76.47   3.1911  1.6669  
5-23    7       34.157  8.59    0       0       44.547  -267.7  76.97   3.2572  2.3402  
5-24    9       27.946  8.69    0       0       35.845  -215.3  76.9    2.7611  3.2039  
5-25    2       159.6   9.34    0       0       52.325  642.14  75.93   3.2098  2.4841  
5-26    45      1.4022  8.88    0       0       50.573  -17.07  77.99   2.9811  2.4834  
5-27    41      1.789   8.93    0       0       39.134  -23.72  77.57   3.2216  2.2474  
5-28    44      2.2478  8.99    0       0       23.316  -9.773  76.03   3.3218  3.1278  
5-29    48      1.8355  8.99    0       0       27.314  -2.168  76.63   3.2601  2.6563  
5-30    49      1.7993  8.99    0       0       27.841  -1.8    76.7    3.2853  2.5077  
5-31    17      4.6759  9.04    0       0       39.053  74.316  77.68   3.3156  2.5001  
5-32    22      4.9921  9.07    0       0       27.855  62.895  76.67   3.2777  2.9343  
5-33    27      4.558   8.95    0       0       19.051  -41.08  75.11   3.2762  2.325   
5-34    38      2.3812  8.94    0       0       32.756  -31.86  77.15   2.3171  2.3852  
5-35    13      6.6161  9.05    0       0       47.01   105.81  78.08   3.3178  1.6451  
5-36    20      7.2428  8.91    0       0       14.919  -52.76  73.69   2.9681  4       
5-37    40      2.7009  8.98    0       0       23.11   -22.69  76      3.2074  3.0525  
5-38    31      3.7936  8.96    0       0       21.441  -37.28  75.68   2.7264  3.4612  
5-39    6       61.761  8.63    0       0       26.934  -282.8  75.9    3.2563  2.4516  
5-40    37      2.6083  8.96    0       0       27.987  -30.05  76.7    3.2363  2.337   
5-41    46      2.2375  9.01    0       0       22.715  5.7307  75.91   3.2221  3.1649  
5-42    47      1.3422  8.96    0       0       40.524  9.3278  77.7    3.1447  2.6925  
5-43    28      3.8076  8.95    0       0       24.055  -42.62  76.16   3.3913  2.3448  
5-44    34      4.0414  9       0       0       16.116  26.387  73.97   3.3225  2.3872  
5-45    18      4.6759  9.04    0       0       39.053  74.316  77.68   3.2902  2.4041  
5-46    3       49.453  9.24    0       0       53.184  355.29  77.84   3.2979  2.5385  
5-47    25      3.1168  8.99    0       0       47.084  58.104  78.04   3.2013  3.3505  
5-48    14      5.4116  9.03    0       0       47.976  92.859  78.1    3.0778  3.3739  
5-49    42      1.8293  8.94    0       0       35.867  -21.78  77.39   3.3422  2.1767  
5-50    1       585.51  7.43    0       0       64.277  -1369   71.58   3.3384  2.4961  
---------------------------------------------------------------------
Average :       25.98   8.919   0       0       34.9    -23.2   76.52   
Optimum :       1.268   9.34    0       0       50.57   -1.8    78.71   
 
